START|groomer:hi your nice looking girl
victim:ya;;groomer:any thing else?;;victim:we hung out n went 2 malls n bowling n swimming;;groomer:ok kool;;victim:guess im boring 2 chat with huh?;;victim:guess u left;;victim:bye;;groomer:no u not;;groomer:i just dont want to get u in trouble;;victim:why would i get in troubles?|groomer:well i woud
victim:we hung out n went 2 malls n bowling n swimming;;groomer:ok kool;;victim:guess im boring 2 chat with huh?;;victim:guess u left;;victim:bye;;groomer:no u not;;groomer:i just dont want to get u in trouble;;victim:why would i get in troubles?;;groomer:well i woud;;victim:why?|groomer:young girl make me horny
victim:guess im boring 2 chat with huh?;;victim:guess u left;;victim:bye;;groomer:no u not;;groomer:i just dont want to get u in trouble;;victim:why would i get in troubles?;;groomer:well i woud;;victim:why?;;groomer:young girl make me horny;;victim:but why would u get in trouble?|groomer:talking to u
victim:bye;;groomer:no u not;;groomer:i just dont want to get u in trouble;;victim:why would i get in troubles?;;groomer:well i woud;;victim:why?;;groomer:young girl make me horny;;victim:but why would u get in trouble?;;groomer:talking to u;;victim:who says?|groomer:cops
victim:why would i get in troubles?;;groomer:well i woud;;victim:why?;;groomer:young girl make me horny;;victim:but why would u get in trouble?;;groomer:talking to u;;victim:who says?;;groomer:cops;;victim:oh;;victim:like r u gonna tell themm i chated with u?|groomer:no not me
groomer:well i woud;;victim:why?;;groomer:young girl make me horny;;victim:but why would u get in trouble?;;groomer:talking to u;;victim:who says?;;groomer:cops;;victim:oh;;victim:like r u gonna tell themm i chated with u?;;groomer:no not me|groomer:lol
groomer:young girl make me horny;;victim:but why would u get in trouble?;;groomer:talking to u;;victim:who says?;;groomer:cops;;victim:oh;;victim:like r u gonna tell themm i chated with u?;;groomer:no not me;;groomer:lol;;victim:not me either|groomer:ok cool
victim:who says?;;groomer:cops;;victim:oh;;victim:like r u gonna tell themm i chated with u?;;groomer:no not me;;groomer:lol;;victim:not me either;;groomer:ok cool;;victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry|groomer:we talk
groomer:cops;;victim:oh;;victim:like r u gonna tell themm i chated with u?;;groomer:no not me;;groomer:lol;;victim:not me either;;groomer:ok cool;;victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry;;groomer:we talk|groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.)
victim:like r u gonna tell themm i chated with u?;;groomer:no not me;;groomer:lol;;victim:not me either;;groomer:ok cool;;victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry;;groomer:we talk;;groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.);;victim:it kinda hurt|groomer:oh
groomer:no not me;;groomer:lol;;victim:not me either;;groomer:ok cool;;victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry;;groomer:we talk;;groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.);;victim:it kinda hurt;;groomer:oh|groomer:next time be good
victim:not me either;;groomer:ok cool;;victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry;;groomer:we talk;;groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.);;victim:it kinda hurt;;groomer:oh;;groomer:next time be good;;victim:what u mean?|groomer:it get better u do it more
victim:i wont bug u cause i dont want 2 get in trouble n i dont want u 2 get in trouble;;victim:sorry;;groomer:we talk;;groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.);;victim:it kinda hurt;;groomer:oh;;groomer:next time be good;;victim:what u mean?;;groomer:it get better u do it more;;victim:oh ok|groomer:who u have sex with
groomer:we talk;;groomer:u like sex (Clearly he is not too worried about getting into trouble.  He is moving fast.);;victim:it kinda hurt;;groomer:oh;;groomer:next time be good;;victim:what u mean?;;groomer:it get better u do it more;;victim:oh ok;;groomer:who u have sex with;;victim:my x bf|groomer:how olded was he
victim:it kinda hurt;;groomer:oh;;groomer:next time be good;;victim:what u mean?;;groomer:it get better u do it more;;victim:oh ok;;groomer:who u have sex with;;victim:my x bf;;groomer:how olded was he;;victim:15|groomer:ok
groomer:oh;;groomer:next time be good;;victim:what u mean?;;groomer:it get better u do it more;;victim:oh ok;;groomer:who u have sex with;;victim:my x bf;;groomer:how olded was he;;victim:15;;groomer:ok|groomer:u have any more pics?
groomer:it get better u do it more;;victim:oh ok;;groomer:who u have sex with;;victim:my x bf;;groomer:how olded was he;;victim:15;;groomer:ok;;groomer:u have any more pics?;;victim:on my myspace;;victim:do u?|groomer:yes
groomer:how olded was he;;victim:15;;groomer:ok;;groomer:u have any more pics?;;victim:on my myspace;;victim:do u?;;groomer:yes;;victim:http://www.***EDIT***;;victim:wbu?;;victim:kool|groomer:u want to see thing just ask
victim:15;;groomer:ok;;groomer:u have any more pics?;;victim:on my myspace;;victim:do u?;;groomer:yes;;victim:http://www.***EDIT***;;victim:wbu?;;victim:kool;;groomer:u want to see thing just ask|groomer:i have cam
victim:on my myspace;;victim:do u?;;groomer:yes;;victim:http://www.***EDIT***;;victim:wbu?;;victim:kool;;groomer:u want to see thing just ask;;groomer:i have cam;;victim:kool;;victim:ok|groomer:just ask to see
groomer:yes;;victim:http://www.***EDIT***;;victim:wbu?;;victim:kool;;groomer:u want to see thing just ask;;groomer:i have cam;;victim:kool;;victim:ok;;groomer:just ask to see;;victim:ok im kool with it|groomer:nice pic on your myspace
victim:wbu?;;victim:kool;;groomer:u want to see thing just ask;;groomer:i have cam;;victim:kool;;victim:ok;;groomer:just ask to see;;victim:ok im kool with it;;groomer:nice pic on your myspace;;victim:thanks|groomer:yw
groomer:u want to see thing just ask;;groomer:i have cam;;victim:kool;;victim:ok;;groomer:just ask to see;;victim:ok im kool with it;;groomer:nice pic on your myspace;;victim:thanks;;groomer:yw;;victim:what ya doin?|groomer:reading your my space (I guess he's doing his \"homework\" and checking to see if this kid is real)
victim:ok;;groomer:just ask to see;;victim:ok im kool with it;;groomer:nice pic on your myspace;;victim:thanks;;groomer:yw;;victim:what ya doin?;;groomer:reading your my space (I guess he's doing his \"homework\" and checking to see if this kid is real);;victim:o lol;;victim:is boring|groomer:it good
groomer:just ask to see;;victim:ok im kool with it;;groomer:nice pic on your myspace;;victim:thanks;;groomer:yw;;victim:what ya doin?;;groomer:reading your my space (I guess he's doing his \"homework\" and checking to see if this kid is real);;victim:o lol;;victim:is boring;;groomer:it good|groomer:u home alone
groomer:nice pic on your myspace;;victim:thanks;;groomer:yw;;victim:what ya doin?;;groomer:reading your my space (I guess he's doing his \"homework\" and checking to see if this kid is real);;victim:o lol;;victim:is boring;;groomer:it good;;groomer:u home alone;;victim:im babysittin|groomer:ok
victim:thanks;;groomer:yw;;victim:what ya doin?;;groomer:reading your my space (I guess he's doing his \"homework\" and checking to see if this kid is real);;victim:o lol;;victim:is boring;;groomer:it good;;groomer:u home alone;;victim:im babysittin;;groomer:ok|groomer:for who?
victim:o lol;;victim:is boring;;groomer:it good;;groomer:u home alone;;victim:im babysittin;;groomer:ok;;groomer:for who?;;victim:hes takin a nap;;victim:my cousin;;victim:he got kicked out of daycare|groomer:k
victim:is boring;;groomer:it good;;groomer:u home alone;;victim:im babysittin;;groomer:ok;;groomer:for who?;;victim:hes takin a nap;;victim:my cousin;;victim:he got kicked out of daycare;;groomer:k|groomer:lol
groomer:u home alone;;victim:im babysittin;;groomer:ok;;groomer:for who?;;victim:hes takin a nap;;victim:my cousin;;victim:he got kicked out of daycare;;groomer:k;;groomer:lol;;victim:now im stuck with him till my uncle finds a new one|groomer:oh
victim:im babysittin;;groomer:ok;;groomer:for who?;;victim:hes takin a nap;;victim:my cousin;;victim:he got kicked out of daycare;;groomer:k;;groomer:lol;;victim:now im stuck with him till my uncle finds a new one;;groomer:oh|groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. )
groomer:for who?;;victim:hes takin a nap;;victim:my cousin;;victim:he got kicked out of daycare;;groomer:k;;groomer:lol;;victim:now im stuck with him till my uncle finds a new one;;groomer:oh;;groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure|groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.)
victim:my cousin;;victim:he got kicked out of daycare;;groomer:k;;groomer:lol;;victim:now im stuck with him till my uncle finds a new one;;groomer:oh;;groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure;;groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u|groomer:no up to you
groomer:k;;groomer:lol;;victim:now im stuck with him till my uncle finds a new one;;groomer:oh;;groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure;;groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u;;groomer:no up to you;;victim:im kool with it eiter way|groomer:ok
groomer:lol;;victim:now im stuck with him till my uncle finds a new one;;groomer:oh;;groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure;;groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u;;groomer:no up to you;;victim:im kool with it eiter way;;groomer:ok|groomer:hi
groomer:oh;;groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure;;groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u;;groomer:no up to you;;victim:im kool with it eiter way;;groomer:ok;;groomer:hi;;victim:hi i see u|groomer:lol
groomer:u wab\nt to see my cam  (He can't wait to show a kid his wanker. );;victim:sure;;groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u;;groomer:no up to you;;victim:im kool with it eiter way;;groomer:ok;;groomer:hi;;victim:hi i see u;;groomer:lol|groomer:u want see more
groomer:with or with out close?  (He meant to spell clothes, which he chose to go without.);;victim:up 2 u;;groomer:no up to you;;victim:im kool with it eiter way;;groomer:ok;;groomer:hi;;victim:hi i see u;;groomer:lol;;groomer:u want see more;;victim:ok|groomer:well
victim:im kool with it eiter way;;groomer:ok;;groomer:hi;;victim:hi i see u;;groomer:lol;;groomer:u want see more;;victim:ok;;groomer:well;;victim:is kool;;victim:did u leave?|groomer:no y
groomer:hi;;victim:hi i see u;;groomer:lol;;groomer:u want see more;;victim:ok;;groomer:well;;victim:is kool;;victim:did u leave?;;groomer:no y;;victim:ur cam thingy turned off|groomer:o
victim:hi i see u;;groomer:lol;;groomer:u want see more;;victim:ok;;groomer:well;;victim:is kool;;victim:did u leave?;;groomer:no y;;victim:ur cam thingy turned off;;groomer:o|groomer:did u like it
groomer:u want see more;;victim:ok;;groomer:well;;victim:is kool;;victim:did u leave?;;groomer:no y;;victim:ur cam thingy turned off;;groomer:o;;groomer:did u like it;;victim:was kool|groomer:just kool
victim:is kool;;victim:did u leave?;;groomer:no y;;victim:ur cam thingy turned off;;groomer:o;;groomer:did u like it;;victim:was kool;;groomer:just kool;;victim:ya;;victim:like kools good lol|groomer:lol
victim:did u leave?;;groomer:no y;;victim:ur cam thingy turned off;;groomer:o;;groomer:did u like it;;victim:was kool;;groomer:just kool;;victim:ya;;victim:like kools good lol;;groomer:lol|groomer:u suck cock
victim:ur cam thingy turned off;;groomer:o;;groomer:did u like it;;victim:was kool;;groomer:just kool;;victim:ya;;victim:like kools good lol;;groomer:lol;;groomer:u suck cock;;victim:i didnt never do that b 4|groomer:oh
groomer:o;;groomer:did u like it;;victim:was kool;;groomer:just kool;;victim:ya;;victim:like kools good lol;;groomer:lol;;groomer:u suck cock;;victim:i didnt never do that b 4;;groomer:oh|groomer:bf lick your pussy
victim:was kool;;groomer:just kool;;victim:ya;;victim:like kools good lol;;groomer:lol;;groomer:u suck cock;;victim:i didnt never do that b 4;;groomer:oh;;groomer:bf lick your pussy;;victim:he didnt do that either|groomer:just fuck u then
victim:ya;;victim:like kools good lol;;groomer:lol;;groomer:u suck cock;;victim:i didnt never do that b 4;;groomer:oh;;groomer:bf lick your pussy;;victim:he didnt do that either;;groomer:just fuck u then;;victim:ya|groomer:that no fun
groomer:lol;;groomer:u suck cock;;victim:i didnt never do that b 4;;groomer:oh;;groomer:bf lick your pussy;;victim:he didnt do that either;;groomer:just fuck u then;;victim:ya;;groomer:that no fun;;victim:thats all we did|groomer:next time have him lick you frist
victim:i didnt never do that b 4;;groomer:oh;;groomer:bf lick your pussy;;victim:he didnt do that either;;groomer:just fuck u then;;victim:ya;;groomer:that no fun;;victim:thats all we did;;groomer:next time have him lick you frist;;victim:do guys like doin that?|groomer:yes
groomer:oh;;groomer:bf lick your pussy;;victim:he didnt do that either;;groomer:just fuck u then;;victim:ya;;groomer:that no fun;;victim:thats all we did;;groomer:next time have him lick you frist;;victim:do guys like doin that?;;groomer:yes|groomer:what u doing now
victim:he didnt do that either;;groomer:just fuck u then;;victim:ya;;groomer:that no fun;;victim:thats all we did;;groomer:next time have him lick you frist;;victim:do guys like doin that?;;groomer:yes;;groomer:what u doing now;;victim:watchin|groomer:u geting wet
victim:u left again;;victim:?;;victim:k;;victim:whatever;;victim:bye;;victim:hi;;victim:what u been doin?;;victim::-h;;victim:hi;;victim::)|groomer:hi
victim:whatever;;victim:bye;;victim:hi;;victim:what u been doin?;;victim::-h;;victim:hi;;victim::);;groomer:hi;;victim:hey;;victim:how u been?|groomer:ghood u
victim:hi;;victim:what u been doin?;;victim::-h;;victim:hi;;victim::);;groomer:hi;;victim:hey;;victim:how u been?;;groomer:ghood u;;victim:bored|groomer:y
victim::-h;;victim:hi;;victim::);;groomer:hi;;victim:hey;;victim:how u been?;;groomer:ghood u;;victim:bored;;groomer:y;;victim:nothin 2 do|groomer:oh
victim::);;groomer:hi;;victim:hey;;victim:how u been?;;groomer:ghood u;;victim:bored;;groomer:y;;victim:nothin 2 do;;groomer:oh;;victim:i been helpin fix our house n me n granpa finally get 2 move in it next week|groomer:cool
victim:hey;;victim:how u been?;;groomer:ghood u;;victim:bored;;groomer:y;;victim:nothin 2 do;;groomer:oh;;victim:i been helpin fix our house n me n granpa finally get 2 move in it next week;;groomer:cool;;victim:i got 2 paint my room blue|groomer:nice
victim:how u been?;;groomer:ghood u;;victim:bored;;groomer:y;;victim:nothin 2 do;;groomer:oh;;victim:i been helpin fix our house n me n granpa finally get 2 move in it next week;;groomer:cool;;victim:i got 2 paint my room blue;;groomer:nice|groomer:i have to go to work so we talk some other time
groomer:ghood u;;victim:bored;;groomer:y;;victim:nothin 2 do;;groomer:oh;;victim:i been helpin fix our house n me n granpa finally get 2 move in it next week;;groomer:cool;;victim:i got 2 paint my room blue;;groomer:nice;;groomer:i have to go to work so we talk some other time|groomer:ok
victim:nothin 2 do;;groomer:oh;;victim:i been helpin fix our house n me n granpa finally get 2 move in it next week;;groomer:cool;;victim:i got 2 paint my room blue;;groomer:nice;;groomer:i have to go to work so we talk some other time;;groomer:ok;;victim:ok;;victim:hi|groomer:hi
victim:i been helpin fix our house n me n granpa finally get 2 move in it next week;;groomer:cool;;victim:i got 2 paint my room blue;;groomer:nice;;groomer:i have to go to work so we talk some other time;;groomer:ok;;victim:ok;;victim:hi;;groomer:hi;;victim:all done workin?|groomer:yes just got home
victim:i got 2 paint my room blue;;groomer:nice;;groomer:i have to go to work so we talk some other time;;groomer:ok;;victim:ok;;victim:hi;;groomer:hi;;victim:all done workin?;;groomer:yes just got home;;victim:i just got home 2|groomer:where u go?
groomer:ok;;victim:ok;;victim:hi;;groomer:hi;;victim:all done workin?;;groomer:yes just got home;;victim:i just got home 2;;groomer:where u go?;;victim:over 2 me n granpas house;;victim:we r almost done paintin it|groomer:that good
victim:hi;;groomer:hi;;victim:all done workin?;;groomer:yes just got home;;victim:i just got home 2;;groomer:where u go?;;victim:over 2 me n granpas house;;victim:we r almost done paintin it;;groomer:that good;;victim:i been helpin|groomer:there u can find friend there soon
victim:all done workin?;;groomer:yes just got home;;victim:i just got home 2;;groomer:where u go?;;victim:over 2 me n granpas house;;victim:we r almost done paintin it;;groomer:that good;;victim:i been helpin;;groomer:there u can find friend there soon;;victim:ya hope so|groomer:your good girl to help gr pa
victim:we r almost done paintin it;;groomer:that good;;victim:i been helpin;;groomer:there u can find friend there soon;;victim:ya hope so;;groomer:your good girl to help gr pa;;victim:its fun;;victim:my room was more fun 2 paint cause its blue;;victim:but the other rooms granpa wants white;;victim:so is more boring|groomer:cool 
groomer:that good;;victim:i been helpin;;groomer:there u can find friend there soon;;victim:ya hope so;;groomer:your good girl to help gr pa;;victim:its fun;;victim:my room was more fun 2 paint cause its blue;;victim:but the other rooms granpa wants white;;victim:so is more boring;;groomer:cool |groomer:school starts soon
victim:ya hope so;;groomer:your good girl to help gr pa;;victim:its fun;;victim:my room was more fun 2 paint cause its blue;;victim:but the other rooms granpa wants white;;victim:so is more boring;;groomer:cool ;;groomer:school starts soon;;victim:ya;;victim:i didnt go 2 my new school yet|groomer:oh ok
groomer:your good girl to help gr pa;;victim:its fun;;victim:my room was more fun 2 paint cause its blue;;victim:but the other rooms granpa wants white;;victim:so is more boring;;groomer:cool ;;groomer:school starts soon;;victim:ya;;victim:i didnt go 2 my new school yet;;groomer:oh ok|groomer:i hope it good school you going to go to
victim:my room was more fun 2 paint cause its blue;;victim:but the other rooms granpa wants white;;victim:so is more boring;;groomer:cool ;;groomer:school starts soon;;victim:ya;;victim:i didnt go 2 my new school yet;;groomer:oh ok;;groomer:i hope it good school you going to go to;;victim:me 2|groomer:any thing else good happening in your life
victim:so is more boring;;groomer:cool ;;groomer:school starts soon;;victim:ya;;victim:i didnt go 2 my new school yet;;groomer:oh ok;;groomer:i hope it good school you going to go to;;victim:me 2;;groomer:any thing else good happening in your life;;victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go|groomer:lol
groomer:cool ;;groomer:school starts soon;;victim:ya;;victim:i didnt go 2 my new school yet;;groomer:oh ok;;groomer:i hope it good school you going to go to;;victim:me 2;;groomer:any thing else good happening in your life;;victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go;;groomer:lol|groomer:can i ask where your mom and dad are
victim:i didnt go 2 my new school yet;;groomer:oh ok;;groomer:i hope it good school you going to go to;;victim:me 2;;groomer:any thing else good happening in your life;;victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go;;groomer:lol;;groomer:can i ask where your mom and dad are;;victim:idk;;victim:they left me with my granpa long time ago|groomer:oh
groomer:oh ok;;groomer:i hope it good school you going to go to;;victim:me 2;;groomer:any thing else good happening in your life;;victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go;;groomer:lol;;groomer:can i ask where your mom and dad are;;victim:idk;;victim:they left me with my granpa long time ago;;groomer:oh|groomer:i bet when u start school there going to be a lot of boys that like you
groomer:any thing else good happening in your life;;victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go;;groomer:lol;;groomer:can i ask where your mom and dad are;;victim:idk;;victim:they left me with my granpa long time ago;;groomer:oh;;groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks|groomer:lol
